iter	Logloss
0	0.6849348096
1	0.6770161004
2	0.6693387556
3	0.662044794
4	0.6551400848
5	0.6491390898
6	0.6430943447
7	0.6382901276
8	0.6341386475
9	0.6292614624
10	0.6241598737
11	0.6202027127
12	0.6149810834
13	0.6105290932
14	0.6066074861
15	0.6027462419
16	0.5987117315
17	0.5968101637
18	0.5934949811
19	0.5908386092
20	0.5880976679
21	0.5854710814
22	0.5838733698
23	0.5801485194
24	0.5775452374
25	0.5751131288
26	0.5736876661
27	0.5715104398
28	0.5688239914
29	0.5666379961
30	0.5654149986
31	0.5631303846
32	0.5617049836
33	0.5587009143
34	0.5567789974
35	0.5551710613
36	0.5534216549
37	0.5523325429
38	0.5511476693
39	0.5499465152
40	0.5488116105
41	0.5473215911
42	0.546375624
43	0.5454643015
44	0.5445546753
45	0.5435272191
46	0.5427129987
47	0.5420177766
48	0.5406301218
49	0.5389758816
50	0.5376525028
51	0.5368932157
52	0.5357103892
53	0.5350850168
54	0.5340145636
55	0.5322205747
56	0.5313963306
57	0.5301951421
58	0.5293457384
59	0.5280762854
60	0.527077682
61	0.5261743788
62	0.5246501644
63	0.5239807449
64	0.5233645817
65	0.5228680468
66	0.5219301818
67	0.5209007797
68	0.5199589905
69	0.5184400772
70	0.5174819301
71	0.5165988135
72	0.5156855674
73	0.5143354094
74	0.5128457121
75	0.511920078
76	0.5109741302
77	0.5101340198
78	0.5095114056
79	0.5083514562
80	0.507594242
81	0.5068123615
82	0.5061839551
83	0.5051155498
84	0.5044619293
85	0.5037318943
86	0.5030547173
87	0.5023538917
88	0.5015502547
89	0.5007623184
90	0.5000475672
91	0.4992773825
92	0.4986986461
93	0.4982807151
94	0.4979940976
95	0.4975597207
96	0.4970564042
97	0.495833118
98	0.49530495
99	0.4946768806
100	0.49409728
101	0.4937240215
102	0.4933033516
103	0.492910563
104	0.4924802788
105	0.4919723897
106	0.49158111
107	0.4912531358
108	0.4908357772
109	0.4904931797
110	0.4897024618
111	0.4891082168
112	0.488771248
113	0.4882459102
114	0.4874528627
115	0.487086552
116	0.4867487587
117	0.4863363543
118	0.4856764912
119	0.4853581316
120	0.4849799323
121	0.4842962226
122	0.4838398395
123	0.4835628048
124	0.4826492097
125	0.4821951856
126	0.4819584125
127	0.4816504315
128	0.4808189548
129	0.480569812
130	0.4797826045
131	0.4794520503
132	0.4791938146
133	0.4789203135
134	0.47821861
135	0.4776800516
136	0.4774135843
137	0.4770996739
138	0.4768195355
139	0.4761743662
140	0.4759051692
141	0.4755963156
142	0.4752425135
143	0.4750068048
144	0.4747473293
145	0.4744520347
146	0.4742844522
147	0.4737855744
148	0.4733983129
149	0.4731507831
150	0.4729196764
151	0.472264939
