iter	Passed	Remaining
0	220	441683
1	280	280701
2	341	227062
3	407	203374
4	480	191824
5	559	185966
6	617	175880
7	693	172686
8	768	170089
9	844	168007
10	919	166185
11	977	161899
12	1037	158559
13	1103	156510
14	1157	153179
15	1215	150680
16	1274	148707
17	1329	146373
18	1382	144178
19	1438	142382
20	1489	140363
21	1542	138711
22	1594	137099
23	1652	136094
24	1706	134797
25	1761	133741
26	1817	132809
27	1881	132508
28	1948	132435
29	2009	131966
30	2071	131556
31	2133	131225
32	2191	130653
33	2261	130747
34	2337	131228
35	2389	130351
36	2458	130414
37	2514	129810
38	2579	129714
39	2641	129409
40	2700	129043
41	2767	129038
42	2824	128544
43	2880	128065
44	2932	127397
45	2982	126670
46	3034	126100
47	3086	125510
48	3141	125081
49	3192	124504
50	3243	123952
51	3298	123549
52	3352	123149
53	3405	122740
54	3461	122416
55	3512	121943
56	3563	121475
57	3619	121192
58	3678	121004
59	3740	120947
60	3802	120861
61	3854	120496
62	3907	120147
63	3961	119847
64	4019	119658
65	4069	119238
66	4124	118981
67	4173	118566
68	4226	118284
69	4278	117967
70	4342	117971
71	4390	117573
72	4470	118009
73	4521	117686
74	4579	117529
75	4627	117144
76	4679	116862
77	4736	116701
78	4801	116764
79	4855	116538
80	4907	116264
81	4965	116140
82	5028	116129
83	5082	115931
84	5136	115726
85	5199	115717
86	5269	115858
87	5330	115806
88	5384	115613
89	5447	115614
90	5509	115572
91	5567	115457
92	5631	115469
93	5689	115373
94	5762	115555
95	5819	115425
96	5879	115343
97	5938	115250
98	5998	115186
99	6052	114989
100	6105	114804
101	6163	114685
102	6213	114437
103	6267	114268
104	6317	114014
105	6368	113789
106	6421	113607
107	6477	113476
108	6546	113568
109	6605	113496
110	6673	113571
111	6736	113554
112	6794	113465
113	6847	113284
114	6929	113576
115	6982	113407
116	7035	113229
117	7092	113124
118	7160	113177
119	7216	113057
120	7271	112925
121	7325	112769
122	7402	112961
123	7479	113163
124	7539	113086
125	7606	113136
126	7660	112982
127	7728	113034
128	7797	113093
129	7862	113101
130	7925	113074
131	7992	113102
132	8058	113118
133	8108	112917
134	8162	112760
135	8220	112672
136	8283	112644
137	8344	112589
138	8401	112485
139	8462	112434
140	8520	112334
141	8578	112243
142	8637	112160
143	8703	112184
144	8785	112393
145	8849	112381
146	8909	112305
147	8972	112280
148	9044	112355
149	9104	112289
150	9159	112156
151	9220	112102
152	9288	112130
153	9358	112176
154	9423	112169
155	9483	112102
156	9553	112142
157	9610	112040
158	9668	111949
159	9729	111883
160	9793	111864
161	9857	111845
162	9927	111886
163	9989	111833
164	10045	111717
165	10110	111703
166	10168	111610
167	10231	111575
168	10299	111592
169	10353	111448
170	10411	111355
171	10474	111321
172	10528	111184
173	10578	111013
174	10645	111021
175	10710	110998
176	10778	111008
177	10829	110847
178	10888	110775
179	10944	110660
180	10998	110529
181	11050	110385
182	11110	110319
183	11180	110346
184	11243	110303
185	11303	110237
186	11365	110194
