,Unnamed: 0,name,nickname,wins,losses,draws,height,weight,reach,stance,dob,sig_str_pm,str_acc,strikes_abs_pm,sig_str_def,td_avg,td_acc,td_def,sub_avg,total_fights,birth_year,birth_month,birth_day
0,0,Tom Aaron,,5,3,0,64.77079303675049,155.0,71.55608591885442,,1978-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1978,7,13
1,1,Danny Abbadi,The Assassin,4,6,0,66.0,155.0,71.55608591885442,Orthodox,1983-07-03,3.29,38.0,4.41,57.0,0.0,0.0,77.0,0.0,10,1983,7,3
2,2,Nariman Abbasov,Bayraktar,28,4,0,63.0,155.0,66.0,Orthodox,1994-02-01,3.0,20.0,5.67,46.0,0.0,0.0,66.0,0.0,32,1994,2,1
3,3,Darion Abbey,,9,5,0,68.0,265.0,80.0,Orthodox,1993-02-25,8.44,50.0,14.06,28.0,0.0,0.0,0.0,0.0,14,1993,2,25
4,4,David Abbott,Tank,10,15,0,66.0,265.0,71.55608591885442,Switch,1965-04-26,1.35,30.0,3.55,38.0,1.07,33.0,66.0,0.0,25,1965,4,26
5,5,Hamdy Abdelwahab,The Hammer,7,1,1,68.0,265.0,72.0,Southpaw,1993-01-22,4.27,55.0,3.67,51.0,3.25,65.0,100.0,0.0,9,1993,1,22
6,6,Mansur Abdul-Malik,,9,0,1,68.0,185.0,80.0,Orthodox,1997-10-07,4.18,48.0,3.46,51.0,0.94,50.0,83.0,0.5,10,1997,10,7
7,7,Shamil Abdurakhimov,Abrek,20,8,0,69.0,235.0,76.0,Orthodox,1981-09-02,2.41,44.0,3.02,55.0,1.01,23.0,45.0,0.1,28,1981,9,2
8,8,Hiroyuki Abe,Abe Ani,8,15,1,61.0,145.0,71.55608591885442,Orthodox,1970-02-09,1.71,36.0,3.11,63.0,0.0,0.0,33.0,0.0,24,1970,2,9
9,9,Daichi Abe,,6,2,0,66.0,170.0,71.0,Orthodox,1991-11-27,3.8,33.0,4.49,56.0,0.33,50.0,0.0,0.0,8,1991,11,27
10,10,Papy Abedi,Makambo,10,4,0,66.0,185.0,71.55608591885442,Southpaw,1978-06-30,2.8,55.0,3.15,48.0,3.47,57.0,50.0,1.3,14,1978,6,30
