,blue_fighter,red_fighter,blue_fighter_kd,red_fighter_kd,blue_fighter_sig_str,red_fighter_sig_str,blue_fighter_sig_str_perc,red_fighter_sig_str_perc,blue_fighter_total_str,red_fighter_total_str,blue_fighter_td,red_fighter_td,blue_fighter_td_perc,red_fighter_td_perc,blue_fighter_sub_att,red_fighter_sub_att,blue_fighter_rev,red_fighter_rev,blue_fighter_ctrl,red_fighter_ctrl,blue_fighter_sig_str_head,red_fighter_sig_str_head,blue_fighter_sig_str_body,red_fighter_sig_str_body,blue_fighter_sig_str_leg,red_fighter_sig_str_leg,blue_fighter_sig_str_distance,red_fighter_sig_str_distance,blue_fighter_sig_str_clinch,red_fighter_sig_str_clinch,blue_fighter_sig_str_ground,red_fighter_sig_str_ground
0,Alexander Volkanovski,Diego Lopes,0,0,98 of 160,70 of 158,61%,44%,112 of 178,74 of 162,2 of 7,2 of 5,28%,40%,1,0,0,0,2:49,1:50,72 of 118,33 of 98,3 of 6,17 of 33,23 of 36,20 of 27,88 of 149,66 of 152,3 of 4,3 of 4,7 of 7,1 of 2
1,Dan Hooker,Benoit Saint Denis,0,0,30 of 47,97 of 127,63%,76%,51 of 68,170 of 205,0 of 1,2 of 9,0%,22%,2,2,0,0,0:28,6:14,19 of 32,83 of 113,8 of 12,14 of 14,3 of 3,0 of 0,28 of 44,20 of 32,2 of 3,10 of 11,0 of 0,67 of 84
2,Rafael Fiziev,Mauricio Ruffy,0,1,36 of 66,55 of 88,54%,62%,37 of 67,60 of 93,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:45,9 of 31,45 of 77,15 of 19,4 of 4,12 of 16,6 of 7,34 of 64,42 of 66,2 of 2,1 of 2,0 of 0,12 of 20
3,Tai Tuivasa,Tallison Teixeira,0,0,42 of 58,51 of 74,72%,68%,56 of 74,117 of 144,0 of 0,3 of 9,---,33%,0,0,0,0,3:58,7:00,21 of 36,39 of 60,10 of 10,10 of 11,11 of 12,2 of 3,27 of 35,26 of 47,11 of 17,4 of 4,4 of 6,21 of 23
4,Quillan Salkilld,Jamie Mullarkey,0,0,5 of 8,1 of 4,62%,25%,18 of 21,6 of 9,2 of 3,1 of 1,66%,100%,1,0,0,0,0:39,1:14,1 of 2,1 of 4,1 of 2,0 of 0,3 of 4,0 of 0,3 of 5,0 of 3,2 of 3,1 of 1,0 of 0,0 of 0
5,Junior Tafa,Billy Elekana,1,0,38 of 70,24 of 51,54%,47%,38 of 70,27 of 54,0 of 0,1 of 5,---,20%,0,1,0,0,0:07,1:40,21 of 49,20 of 45,14 of 18,3 of 5,3 of 3,1 of 1,37 of 66,22 of 49,0 of 3,1 of 1,1 of 1,1 of 1
6,Cam Rowston,Cody Brundage,0,0,57 of 119,29 of 65,47%,44%,73 of 139,31 of 67,0 of 0,0 of 1,---,0%,0,0,0,0,2:04,0:19,41 of 96,22 of 58,7 of 13,1 of 1,9 of 10,6 of 6,32 of 70,27 of 61,6 of 8,2 of 4,19 of 41,0 of 0
7,Jacob Malkoun,Torrez Finney,1,0,117 of 181,27 of 77,64%,35%,151 of 219,42 of 95,2 of 8,0 of 1,25%,0%,3,0,0,0,5:16,0:20,115 of 179,25 of 73,2 of 2,2 of 4,0 of 0,0 of 0,97 of 153,25 of 74,4 of 5,2 of 3,16 of 23,0 of 0
8,Jonathan Micallef,Oban Elliott,0,0,19 of 59,40 of 82,32%,48%,30 of 70,47 of 89,1 of 1,0 of 2,100%,0%,1,0,0,0,1:35,1:11,13 of 49,34 of 74,5 of 9,1 of 3,1 of 1,5 of 5,16 of 53,35 of 74,3 of 6,5 of 7,0 of 0,0 of 1
9,Kaan Ofli,Yizha,0,1,48 of 107,68 of 124,44%,54%,53 of 114,75 of 133,0 of 7,3 of 3,0%,100%,0,0,1,0,2:57,1:15,22 of 78,44 of 93,19 of 22,17 of 24,7 of 7,7 of 7,38 of 91,58 of 109,7 of 11,5 of 7,3 of 5,5 of 8
