,fighter_id,date,location,title,method,round,time,time_format,ref,details,red_outcome,blue_outcome,red_nickname,blue_nickname,red_fighter,blue_fighter,red_fighter_kd,blue_fighter_kd,red_fighter_sig_str,blue_fighter_sig_str,red_fighter_sig_str_perc,blue_fighter_sig_str_perc,red_fighter_total_str,blue_fighter_total_str,red_fighter_td,blue_fighter_td,red_fighter_td_perc,blue_fighter_td_perc,red_fighter_sub_att,blue_fighter_sub_att,red_fighter_rev,blue_fighter_rev,red_fighter_ctrl,blue_fighter_ctrl,red_fighter_sig_str_head,blue_fighter_sig_str_head,red_fighter_sig_str_body,blue_fighter_sig_str_body,red_fighter_sig_str_leg,blue_fighter_sig_str_leg,red_fighter_sig_str_distance,blue_fighter_sig_str_distance,red_fighter_sig_str_clinch,blue_fighter_sig_str_clinch,red_fighter_sig_str_ground,blue_fighter_sig_str_ground
0,0,"February 07, 2026","Las Vegas, Nevada, USA",Bantamweight Bout,Submission,2,4,5 Rnd (5-5-5-5-5),Herb Dean,Rear Naked Choke,W,L,,"""LokDog""",Mario Bautista,Vinicius Oliveira,0,0,15 of 27,12 of 21,55%,57%,49 of 63,18 of 27,5 of 7,0 of 1,71%,0%,1,0,0,0,5:47,1:39,10 of 20,3 of 10,5 of 6,3 of 5,0 of 1,6 of 6,6 of 12,9 of 18,0 of 2,3 of 3,9 of 13,0 of 0
1,1,"February 07, 2026","Las Vegas, Nevada, USA",Flyweight Bout,Decision - Unanimous,3,5,3 Rnd (5-5-5),Keith Peterson,Eric Colon27 - 30.Junichiro Kamijo27 - 30.Ron McCarthy28 - 29.,L,W,"""The Prince""","""Karate Kid""",Amir Albazi,Kyoji Horiguchi,0,0,16 of 67,73 of 136,23%,53%,20 of 75,99 of 163,0 of 7,0 of 2,0%,0%,0,0,0,0,3:50,1:02,12 of 62,65 of 123,4 of 5,3 of 6,0 of 0,5 of 7,12 of 60,71 of 133,4 of 6,2 of 3,0 of 1,0 of 0
2,2,"February 07, 2026","Las Vegas, Nevada, USA",Heavyweight Bout,Decision - Unanimous,3,5,3 Rnd (5-5-5),Dan Miragliotta,Mike Bell27 - 30.Sal D'amato27 - 30.Chris Lee28 - 29.,L,W,"""Malhadinho""",,Jailton Almeida,Rizvan Kuniev,0,0,31 of 67,43 of 93,46%,46%,50 of 92,102 of 153,0 of 8,0 of 0,0%,---,0,0,0,0,1:24,6:35,17 of 50,31 of 77,12 of 15,11 of 15,2 of 2,1 of 1,23 of 57,22 of 65,8 of 10,21 of 28,0 of 0,0 of 0
3,3,"February 07, 2026","Las Vegas, Nevada, USA",Middleweight Bout,Decision - Unanimous,3,5,3 Rnd (5-5-5),Chris Tognoni,Eric Colon28 - 29.Junichiro Kamijo28 - 29.Ron McCarthy28 - 29.,W,L,"""Hussar""","""Powerbar""",Michal Oleksiejczuk,Marc-Andre Barriault,0,0,140 of 221,77 of 201,63%,38%,143 of 225,79 of 204,1 of 3,0 of 0,33%,---,0,0,0,0,0:30,0:02,91 of 161,57 of 178,39 of 49,16 of 19,10 of 11,4 of 4,138 of 218,59 of 173,1 of 1,18 of 28,1 of 2,0 of 0
4,4,"February 07, 2026","Las Vegas, Nevada, USA",Bantamweight Bout,Decision - Split,3,5,3 Rnd (5-5-5),Herb Dean,Mike Bell28 - 29.Ron McCarthy29 - 28.Sal D'amato28 - 29.,L,W,,"""Ferocious""",Jean Matsumoto,Farid Basharat,0,0,76 of 220,80 of 152,34%,52%,111 of 263,95 of 172,7 of 11,2 of 7,63%,28%,0,0,0,1,4:40,2:23,40 of 162,63 of 132,20 of 29,14 of 16,16 of 29,3 of 4,62 of 197,66 of 136,14 of 23,14 of 16,0 of 0,0 of 0
5,5,"February 07, 2026","Las Vegas, Nevada, USA",Light Heavyweight Bout,KO/TKO,2,1,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head On Ground,W,L,"""The Hanyak""","""Juice Box""",Dustin Jacoby,Julius Walker,1,0,42 of 71,7 of 21,59%,33%,47 of 79,12 of 26,0 of 0,3 of 7,---,42%,0,0,0,0,0:59,2:47,35 of 64,3 of 17,3 of 3,1 of 1,4 of 4,3 of 3,22 of 38,4 of 12,9 of 10,2 of 7,11 of 23,1 of 2
6,6,"February 07, 2026","Las Vegas, Nevada, USA",Welterweight Bout,Decision - Unanimous,3,5,3 Rnd (5-5-5),Keith Peterson,Mike Bell26 - 30.Peter Adamcik26 - 30.Sal D'amato27 - 30.,L,W,"""The Great White""",,Alex Morono,Daniil Donchenko,0,1,40 of 146,100 of 162,27%,61%,48 of 154,134 of 214,0 of 0,0 of 0,---,---,0,0,0,0,0:00,2:20,37 of 138,45 of 99,2 of 7,21 of 28,1 of 1,34 of 35,36 of 137,82 of 134,4 of 9,7 of 11,0 of 0,11 of 17
7,7,"February 07, 2026","Las Vegas, Nevada, USA",Welterweight Bout,KO/TKO,1,1,3 Rnd (5-5-5),Chris Tognoni,Punches to Head At Distance,W,L,"""Gladiator""","""The Hybrid""",Nikolay Veretennikov,Niko Price,0,0,19 of 30,9 of 23,63%,39%,20 of 31,12 of 27,0 of 0,0 of 0,---,---,0,0,0,0,0:17,0:00,12 of 22,7 of 19,6 of 7,1 of 1,1 of 1,1 of 3,10 of 21,9 of 22,9 of 9,0 of 1,0 of 0,0 of 0
8,8,"February 07, 2026","Las Vegas, Nevada, USA",Women's Strawweight Bout,Decision - Unanimous,3,5,3 Rnd (5-5-5),Herb Dean,Mike Bell28 - 29.Sal D'amato28 - 29.Ron McCarthy28 - 29.,L,W,,"""Esquentadinha""",Bruna Brasil,Ketlen Souza,0,0,31 of 60,33 of 69,51%,47%,65 of 101,64 of 109,1 of 4,1 of 8,25%,12%,0,0,0,0,0:41,8:03,10 of 32,18 of 42,17 of 23,12 of 22,4 of 5,3 of 5,25 of 53,24 of 59,6 of 7,9 of 10,0 of 0,0 of 0
9,9,"February 07, 2026","Las Vegas, Nevada, USA",Bantamweight Bout,Decision - Unanimous,3,5,3 Rnd (5-5-5),Dan Miragliotta,Mike Bell28 - 29.Adalaide Byrd28 - 29.Sal D'amato28 - 29.,W,L,"""The Snow Leopard""","""Kriptonita""",Javid Basharat,Gianni Vazquez,1,0,59 of 97,24 of 108,60%,22%,85 of 132,41 of 132,3 of 8,0 of 0,37%,---,0,2,0,1,5:38,0:25,33 of 64,13 of 87,13 of 17,4 of 9,13 of 16,7 of 12,44 of 78,23 of 98,1 of 2,1 of 2,14 of 17,0 of 8
