,name,nickname,wins,losses,draws,height,weight,reach,stance,dob,sig_str_pm,str_acc,strikes_abs_pm,sig_str_def,td_avg,td_acc,td_def,sub_avg
0,Tom Aaron,,5,3,0,--,155 lbs.,--,,"Jul 13, 1978",0.00,0%,0.00,0%,0.00,0%,0%,0.0
1,Danny Abbadi,The Assassin,4,6,0,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983",3.29,38%,4.41,57%,0.00,0%,77%,0.0
2,Nariman Abbasov,Bayraktar,28,4,0,"5' 8""",155 lbs.,"66""",Orthodox,"Feb 01, 1994",3.00,20%,5.67,46%,0.00,0%,66%,0.0
3,Darion Abbey,,9,5,0,"6' 2""",265 lbs.,"80""",Orthodox,"Feb 25, 1993",8.44,50%,14.06,28%,0.00,0%,0%,0.0
4,David Abbott,Tank,10,15,0,"6' 0""",265 lbs.,--,Switch,"Apr 26, 1965",1.35,30%,3.55,38%,1.07,33%,66%,0.0
5,Hamdy Abdelwahab,The Hammer,7,1,0 (1 NC),"6' 2""",265 lbs.,"72""",Southpaw,"Jan 22, 1993",4.27,55%,3.67,51%,3.25,65%,100%,0.0
6,Mansur Abdul-Malik,,9,0,1,"6' 2""",185 lbs.,"80""",Orthodox,"Oct 07, 1997",4.18,48%,3.46,51%,0.94,50%,83%,0.5
7,Shamil Abdurakhimov,Abrek,20,8,0,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",2.41,44%,3.02,55%,1.01,23%,45%,0.1
8,Hiroyuki Abe,Abe Ani,8,15,3 (1 NC),"5' 6""",145 lbs.,--,Orthodox,"Feb 09, 1970",1.71,36%,3.11,63%,0.00,0%,33%,0.0
9,Daichi Abe,,6,2,0,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",3.80,33%,4.49,56%,0.33,50%,0%,0.0
10,Papy Abedi,Makambo,10,4,0,"5' 11""",185 lbs.,--,Southpaw,"Jun 30, 1978",2.80,55%,3.15,48%,3.47,57%,50%,1.3
11,Ricardo Abreu,Demente,5,1,0,"5' 11""",185 lbs.,--,Orthodox,"Apr 27, 1984",3.79,31%,3.98,68%,2.13,42%,100%,0.7
12,Klidson Abreu,White Bear,15,4,0 (1 NC),"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992",2.05,40%,2.90,55%,0.64,20%,80%,0.0
13,Cyborg Abreu,,0,0,0,--,--,--,,"Dec 20, 1980",0.00,0%,0.00,0%,0.00,0%,0%,0.0
14,Daniel Acacio,,30,18,0,"5' 8""",180 lbs.,--,Orthodox,"Dec 27, 1977",3.52,36%,2.85,62%,0.33,20%,81%,0.0
15,John Adajar,The Outlaw,6,2,0,"5' 9""",170 lbs.,"75""",Orthodox,"Jun 22, 1991",3.90,52%,6.28,44%,0.00,0%,0%,0.0
16,Scott Adams,,8,1,0,"6' 0""",225 lbs.,--,Southpaw,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0
17,Juan Adams,The Kraken,5,3,0,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",7.09,55%,4.06,34%,0.91,66%,57%,0.0
18,Anthony Adams,Sugafoot,8,2,0,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 13, 1988",3.17,41%,5.93,44%,0.00,0%,0%,0.0
19,Zarrukh Adashev,The Lion,4,4,0,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992",3.65,40%,3.04,64%,0.00,0%,100%,0.5
20,Israel Adesanya,The Last Stylebender,24,5,0,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",4.02,48%,3.20,55%,0.05,11%,76%,0.1
21,Sam Adkins,The Experience,7,20,2,"6' 3""",225 lbs.,--,Orthodox,"Apr 26, 1965",0.00,0%,0.00,0%,0.00,0%,0%,0.0
22,Mohamed Ado,,5,1,0,"5' 11""",170 lbs.,"76""",Switch,"May 03, 2000",1.66,83%,0.33,75%,4.97,50%,50%,5.0
23,Nick Agallar,,24,6,0,"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979",0.69,11%,4.56,42%,0.00,0%,0%,0.0
24,Mariya Agapova,Money Mashka,10,5,0,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997",4.43,54%,3.62,52%,0.55,66%,45%,0.8
25,Kantharaj Agasa,Kannadiga,12,3,0,--,135 lbs.,--,,"Feb 16, 1992",0.00,0%,0.00,0%,0.00,0%,0%,0.0
26,Marcelo Aguiar,,2,3,1,"5' 10""",170 lbs.,--,Orthodox,"Jan 20, 1969",0.00,0%,0.00,0%,0.00,0%,0%,0.0
