,blue_fighter,red_fighter,method,round,time,winner,days_since,wins,fight_num_rounds,round_mins,decayed_avg_ctrl_dif,decayed_avg_kd_dif,decayed_avg_rev_dif,decayed_avg_sig_str_body_dif,decayed_avg_sig_str_body_pct_dif,decayed_avg_sig_str_clinch_dif,decayed_avg_sig_str_clinch_pct_dif,decayed_avg_sig_str_dif,decayed_avg_sig_str_distance_dif,decayed_avg_sig_str_distance_pct_dif,decayed_avg_sig_str_ground_dif,decayed_avg_sig_str_ground_pct_dif,decayed_avg_sig_str_head_dif,decayed_avg_sig_str_head_pct_dif,decayed_avg_sig_str_leg_dif,decayed_avg_sig_str_leg_pct_dif,decayed_avg_sig_str_pct_dif,decayed_avg_sub_att_dif,decayed_avg_td_att_dif,decayed_avg_td_att_pct_dif,decayed_avg_td_pct_dif,decayed_avg_total_str_dif,decayed_avg_total_str_pct_dif
0,Ed Herman,Jason MacDonald,Submission ,1,163,blue,7051,11,3,5.0,6.33301593156174e-89,0.3379797722279965,1.473171533379235,1.4799232814557998e-21,0.7175925414330848,2.6869689059866896e-15,0.7481155928426637,1.6080853986967537e-72,2.689651421991757e-45,0.5124385732793739,2.2251047899599365e-13,0.38424354932088983,6.424224112253468e-53,0.3934886210523718,16.91411282163293,4.631069100220974,1.1072625788241397,2.5340078957111376,0.005564235921524527,0.33891947452414223,0.33891947452414223,3.1212290023219712e-93,1.318536693087185
1,Chris Price,Kendall Grove,KO/TKO ,1,239,blue,7051,6,3,5.0,100000.0,2.9587569498846036,0.25769938741233744,100000.0,0.15039184197709746,100000.0,0.1088939744847746,100000.0,100000.0,0.03784104851933313,100000.0,21.773600674297857,100000.0,0.08570849421942114,100000.0,6.823003814170851,0.0867828144898496,297.38823137504835,15.058205776431935,5.570870258561993,5.570870258561993,100000.0,0.3285624413941874
2,Forrest Petz,Marcus Davis,Submission ,1,298,blue,7051,5,3,5.0,100000.0,0.10904129978256982,0.13337755292713743,2.1632094110145943e-19,0.7460881709177715,9.822789790787031e-07,0.7747777634275748,1.5278211702435927e-08,3.946842693397268e-05,3.538624161572209,394.0831409836817,7.693695506547668,100000.0,4.797239248000726,1974.7933671207086,0.4787272246414856,3.536891402064373,281.68797874215335,0.6249606028536784,1.7166124198087371,1.7166124198087371,1.3101396652128535e-07,3.9279475871681955
3,Seth Petruzelli,Matt Hamill,Decision - Unanimous ,3,300,blue,7051,5,3,5.0,100000.0,0.04710230534832166,1.0,3.226696305940545e-05,0.36876860221124835,110.02049500522688,1.7359506655431542,100000.0,100000.0,1.2417390950520142,100000.0,2.6295618988215717,100000.0,2.143039114590322,100000.0,1.1042969241943807,1.4562395643902115,0.0001486746792149461,100000.0,6.705892084640561,6.705892084640561,100000.0,0.7519625070383152
4,Crafton Wallace,Nate Marquardt,Submission ,2,74,blue,7051,1,3,5.0,100000.0,29.502647350080053,2.330586610375498,100000.0,64.45610740296709,100000.0,22.745188338274012,100000.0,100000.0,10.04942907061287,100000.0,12.497623468776807,100000.0,11.469835431172596,100000.0,1.8583600048344875,17.369483882673038,51.86063372734058,11018.379267763674,10.901264590689076,10.901264590689076,100000.0,5.852337886428859
5,Josh Haynes,Rory Singer,Decision - Unanimous ,3,300,blue,7051,2,3,5.0,3.625772496941491e-133,0.09533737779250928,0.09533737779250928,110.02049500522688,2.0990276345888916,100000.0,0.3265388496270011,100000.0,100000.0,1.700991780554441,2.2104160239667124e-08,1.0921382807181497,100000.0,2.1892559968449725,100000.0,0.9329837671382005,3.0658521460399406,33.97075474798483,0.05297598047890808,0.712596653344795,0.712596653344795,100000.0,1.9827016776538247
6,John Alessio,Thiago Alves,Decision - Unanimous ,3,300,blue,7051,3,3,5.0,2.8853542907146483e-29,39.11554663058407,0.2440944593793465,100000.0,14.471921101813276,100000.0,1.7499111580904185,100000.0,100000.0,4.740836943673557,100000.0,4.5917107021634695,100000.0,2.683179656661564,100000.0,14.546036346309334,3.7449837081525135,0.03389526330074533,2.330586610375498,2.8339393305611758,2.8339393305611758,100000.0,1.3769438038625479
7,Dustin Hazelett,Tony DeSouza,Submission ,1,239,blue,7051,5,3,5.0,100000.0,1.0,1.6001008630525295,6.530991688543928e-05,0.1843644097718086,4.096774677076559,5.877573740676439,4.051456292621527e-15,3.3346761399451264e-24,0.16144939678282452,100000.0,2.1168604889688925,4.4739905190869605e-08,1.8805336205274668,0.0013865545731248665,0.26398696407584776,1.789090696500876,0.002806454507701647,281.68797874215335,5.828443595676708,5.828443595676708,100000.0,3.574567656946814
8,Alex Chambers,Aisling Daly,Submission ,1,293,blue,4066,4,3,5.0,100000.0,1.0,1.0,29748.480479004065,1.9793165559380628,100000.0,2.091076055741792,100000.0,2.182793283256176e-22,0.2977525479036765,100000.0,3.420634582747609,100000.0,0.7202938110889103,4.395123588351721e-07,0.33040544487184803,0.752300074038331,1.3113624916366229,2.9572703584384192,1.2002360217218169,1.2002360217218169,100000.0,1.2576066729860746
9,Heather Clark,Bec Rawlings,Decision - Unanimous ,3,300,red,4066,5,3,5.0,0.0,1.0,0.2578613263491549,4.4479783401112376e-12,0.6616976763711092,3.148413102729606e-10,0.21675092263220685,0.004421247719127412,100000.0,0.7551564221612425,32.62708778948717,2.2983023809527143,100000.0,0.7883785013857515,0.14425243747104127,0.17213526638729673,0.6873060794009048,0.8239717384824483,2.632924585590977,1.6965215367933983,1.6965215367933983,1.157672569666888e-58,0.503098200657966
10,Rose Namajunas,Carla Esparza,Submission ,3,86,blue,4066,6,5,5.0,100000.0,0.2578613263491549,1.809333116265492,1.0006445639099323e-11,0.7489209517712387,0.9721588022059715,0.8965903719421343,6.666406401792951e-46,1.0134027468442748e-52,0.6177601005442436,100000.0,1.9144709649426799,1.424103396497737e-32,0.9122499429027062,0.004678109932930567,0.4675841222064229,0.9658657624752898,0.5685180465055895,458.168083399875,1.7507997366645074,1.7507997366645074,100000.0,1.4733999337820762
11,Angela Hill,Emily Kagan,Decision - Unanimous ,3,300,red,4066,18,3,5.0,100000.0,0.6015473661206574,0.42866337859990467,1.942818283750964e-32,0.5717008630661701,2.2815607043556862e-15,0.5214863131774427,4.0504024146614423e-85,4.942465906177627e-65,0.7265458393336598,3.591885324324592e-06,0.41561623219276733,3.6868298417800447e-57,0.6373394877656521,5654.743333573404,0.625685752333153,0.6791266349572274,0.5078004788784222,25.001021065812584,0.8137324836894116,0.8137324836894116,7.153615528838306e-67,0.9654026661258538
12,Lisa Ellis,Felice Herrig,Submission ,2,185,blue,4066,5,3,5.0,100000.0,1.0,0.443436795656751,100000.0,1.911475819470567,100000.0,0.8511656175460863,100000.0,100000.0,1.1667738868391562,668.8768751057548,0.1270092957906773,100000.0,0.713581566112478,100000.0,7.811436586649346,0.5482135745759256,1.501703304187991,0.058064547459668096,0.3521821848550172,0.3521821848550172,100000.0,0.7229468983080923
13,Charles Oliveira,Jeremy Stephens,Decision - Unanimous ,3,300,red,4066,8,3,5.0,3.878053425685081,5.3424526671218295,1.0505195470264748,2.173277428020958,1.1608072261595976,0.051969882593192164,0.6889479582946585,100000.0,100000.0,0.6806103341603589,170.36538507790104,0.6596187160564249,100000.0,0.7701513602071017,100000.0,0.993021664082879,0.6841096406836298,0.017358399167097107,0.4169428734860769,0.47017340426791787,0.47017340426791787,100000.0,0.7900143048646954
14,Randa Markos,Jessica Penne,Decision - Split ,3,300,blue,4066,6,3,5.0,7.507715649864197e-103,1.0,0.3232127692025315,100000.0,1.2441933771073854,6.0478524540102115e-05,0.5843611829072638,0.006946234564161751,100000.0,0.8343670823955984,4.388616710355099e-08,0.5857152595228106,1.4708757454122154e-14,0.6279188664321314,0.00014928300864908115,0.5936406089387496,0.678564374914301,0.7978067419346719,0.7978067419346719,0.9184343842557406,0.9184343842557406,3.6306566387627397e-14,0.6377403122029105
15,Seo Hee Ham,Joanne Wood,Decision - Unanimous ,3,300,blue,4066,9,3,5.0,100000.0,2.2551128138091303,0.6222790417496187,87974.29952914256,0.9544310124695136,100000.0,2.676849091543367,100000.0,100000.0,1.507775285841557,100000.0,3.107435255611222,1.297832611208076e-07,1.3576565905601938,100000.0,3.1301673694286065,1.7894168377005208,1.0701155857089188,131.52540146530376,3.5366171632602135,3.5366171632602135,100000.0,2.044911516418629
16,Yancy Medeiros,Joe Proctor,Submission ,1,277,red,4066,6,3,5.0,1.9004845852526087e-24,0.24096586368128597,0.443436795656751,4.236125991275546e-09,1.4153177946842588,12.272569704519881,0.9496686583187838,1.3704349272044626e-16,2.61272323273512e-15,1.051669681544136,0.004273950658743543,0.9086447354652742,3.3416538093678654e-09,0.9073402794890993,9.681175533566416,2.9142932251818827,1.0861277641198257,11.468452444218608,0.443436795656751,0.8346764526224144,0.8346764526224144,1.1602954085611369e-14,1.1740808907627314
17,Daron Cruickshank,KJ Noons,Could Not Continue ,2,25,red,4066,3,3,5.0,1.2761470194381911e-138,0.41222766917195447,0.5349732884098559,2.8364807254228834,0.34716793643809085,0.00019373377386611753,1.0581351874171552,0.00016568697270116285,100000.0,1.4446264366727406,5.594404871679292e-06,0.5530552973484649,9.338120046373461e-05,1.5104196436759139,0.6255313401624002,0.4248446680592532,1.172327425746354,0.5349732884098559,0.0035891274583143714,0.4122276691719546,0.4122276691719546,4.664993074661557e-09,1.1043025032240608
18,Angela Magana,Tecia Pennington,Decision - Unanimous ,3,300,blue,4066,3,3,5.0,5.505272437262717e-81,1.2702026702191493,1.0,100000.0,1.6686646988821956,100000.0,1.0671584012193776,100000.0,100000.0,1.7681053270516314,2283.289736768013,1.0219505616158988,100000.0,2.7241477984104376,100000.0,0.9195775146706052,1.7732741623959962,0.32753614527494795,1.3756164539365963,1.2044537489529132,1.2044537489529132,100000.0,1.8903176781440214
19,Ryan Janes,Andrew Sanchez,KO/TKO ,3,58,red,2981,4,3,5.0,100000.0,2.4456232538670744,0.47461563119913813,6.428562359312872e-10,1.0911826701468377,2.8538410876874344e-09,0.5936894062447208,1.882956526028623e-34,1.1262100626026634e-33,0.9381857231220724,100000.0,2.898888557241494,9.651152370478138e-25,1.0500141096941626,0.3034920084896787,1.0405471355252338,1.0572226556003668,1.0,334.60475518404786,0.8920155920603033,0.8920155920603033,3.296850757214204e-29,0.9145570262754331
20,Shana Dobson,Ariel Beck,KO/TKO ,2,173,red,2981,1,3,5.0,8.091479448830844e-35,0.6084543844249612,0.3702167379259585,100000.0,0.40800059746190215,6.629375176915992e-06,1.102787760093026,100000.0,100000.0,0.7650503831476607,2.9429882154242943e-05,0.5508210625668186,1.3568797774903773e-12,0.6717911720533776,100000.0,1.8030806840728728,0.633125466811163,1.0,0.2252599973785563,0.7385486271566151,0.7385486271566151,6.562991897372377e-17,0.5536795406381799
21,Lauren Murphy,Barb Honchak,Decision - Split ,3,300,red,2981,2,3,5.0,2.199600025472015e-185,0.8197684691132898,0.8197684691132898,3.7795844785729275e-08,0.4044378912527114,7.347948186316713e-12,0.18114108501849202,8.398820689757694e-14,100000.0,0.9762533200974984,5.820488909441462e-10,0.423372696119536,8.086887245232516e-06,0.8211322683224732,0.27478490069544964,0.8369764810493212,0.7265384783757949,10.85689106955431,0.041596746107938,0.4925530486818123,0.4925530486818123,2.3658370089807967e-56,0.6020269269333309
22,Montana De La Rosa,Christina Marks,Submission ,1,120,red,2981,7,3,5.0,2.4844242568952437e-279,0.7422271133251825,0.7422271133251825,3.6521299960992317e-06,3.4771869218871263,0.011430157748523581,3.103907204290755,8.48859056888121e-32,4.7236743128736896e-21,2.508242602922599,1.5721841594870103e-09,0.334422556554043,4.973094249808221e-24,1.389058903932253,0.004673719768754229,5.227342187514824,1.567738549549615,0.16719407760192403,1.0,8.989015512708864,8.989015512708864,1.6231372630641116e-63,1.495430450101376
23,Melinda Fabian,DeAnna Bennett,Decision - Majority ,3,300,red,2981,1,3,5.0,100000.0,0.2252599973785563,1.0,100000.0,1.546372867509744,100000.0,3.0179859745387003,3.3301977076374566e-18,3.296850757214204e-29,1.7509502401183614,19.707514308597606,2.701120445288984,1.293402567246765e-15,1.7236759153901777,3.844970139802898e-09,0.8831958225851386,1.8982169534423097,19.707514308597606,1.0,1.0,1.0,9.899864952922346e-12,2.0229097660050823
24,Gerald Meerschaert,Eric Spicely,KO/TKO ,2,138,red,2981,3,3,5.0,1.591790717677771e-42,0.6992688428737499,0.3419263212741034,0.02481169907869465,0.35785027612537107,3617.329873213552,1.5814695851785716,0.21586852994101952,1.944572165471496e-06,0.8778521045830495,30.688605476235832,2.2419478573027884,864.8978682480999,1.716537230559317,0.010059305596788314,0.8279548403977748,1.2766548602894952,0.372324843169905,0.2787133544876297,1.253454098211227,1.253454098211227,9.636519541329122,1.5617519928575165
25,Emily Whitmire,Gillian Robertson,Submission ,1,132,blue,2981,6,3,5.0,100000.0,1.0,0.8112386657060479,1552.937393034888,1.2211252071760672,1.0,0.9125413040618782,100000.0,100000.0,1.0702742110210106,100000.0,2.0136597620408283,100000.0,1.4680577634895609,349.81467308410055,0.40710481320568126,1.3431925348168998,3.9984368960994705,33.24759574745769,1.275862806619373,1.275862806619373,100000.0,1.2273528849992665
26,Brett Johns,Joe Soto,Submission ,1,30,red,2981,2,3,5.0,0.0,1.0,0.6532096511200342,0.03142695591489041,0.4521458849881244,3.6912198516900164e-06,0.32281039338593515,5.2918012776822715e-09,100000.0,1.3073483558966628,1.4566859714618929e-12,0.6978068821294052,3.150118955120199e-10,0.6303432955711783,534.5326732078536,1.4260108809760104,0.8193031288940149,2.222165437701902,1.9223883054476735e-05,0.5678728854254838,0.5678728854254838,1.5110535682844464e-46,0.6307613322420184
27,Rachael Ostovich,Karine Gevorgyan,Submission ,1,100,red,2981,3,3,5.0,0.0001306485061561337,1.0,0.47461563119913813,2.0858699760709252e-11,0.23138994318038614,0.00027527223624313445,0.23478214855428448,1.4635757771379994e-28,2.3603082663855364e-24,0.4656882625207672,0.2252599973785563,0.7800348610318395,2.9135185890742503e-16,0.5990798650211854,0.024082977881796183,0.3552017132828014,0.4521726287727349,0.2252599973785563,0.024082977881796183,0.2252599973785563,0.2252599973785563,2.3366733084483156e-35,0.3993878516994077
28,Roxanne Modafferi,Nicco Montano,Decision - Unanimous ,5,300,blue,2981,1,5,5.0,100000.0,0.7800348610318395,1.643508577795986,100000.0,2.4730743865420877,100000.0,1.3204730972125955,100000.0,100000.0,1.567678135936727,100000.0,2.768633943231843,100000.0,1.0439636915035977,100000.0,3.8804105978417742,1.4907634762438504,3.4628201638525606,143.78704248489277,3.1145734921979678,3.1145734921979678,100000.0,1.2768672900603495
